"","publication year","Reference","ID","study period","country","English name","scientific name","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes"
"1752",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","d-HCH","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","6.43","> = 0.02–0.05","NA","2.5","16.52","ng/g","wet","no",NA,NA,NA
"1753",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total HCHs","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","6.43","> = 0.02–0.05","NA","2.5","16.52","ng/g","wet","no",NA,NA,NA
"1754",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Heptachlor","organochlorine insecticides","liver","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1755",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","2.1800000000000002","> = 0.02–0.05","NA","2","2.36","ng/g","wet","no",NA,NA,NA
"1756",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Chlordane","organochlorine insecticides","liver","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1757",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan I","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","1.92","> = 0.02–0.05","NA","ND","3.44","ng/g","wet","no",NA,NA,NA
"1758",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan II","organochlorine insecticides","liver","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","7.0000000000000007E-2","> = 0.02–0.05","NA","ND","0.52","ng/g","wet","no",NA,NA,NA
"1759",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan sulfate","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","4.72","> = 0.02–0.05","NA","3.86","5.75","ng/g","wet","no",NA,NA,NA
"1760",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Aldrin","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","5.74","> = 0.02–0.05","NA","0.53","62.86","ng/g","wet","no",NA,NA,NA
"1761",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","2.4700000000000002","> = 0.02–0.05","NA","1.62","3.75","ng/g","wet","no",NA,NA,NA
"1762",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","liver","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.56","> = 0.02–0.05","NA","ND","2.42.58","ng/g","wet","no",NA,NA,NA
"1763",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin aldehyde","organochlorine insecticides","liver","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1764",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin ketone","organochlorine insecticides","liver","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1765",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","17269.14","> = 0.02–0.05","NA","15279.23","19518.2","ng/g","wet","no",NA,NA,NA
"1766",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","1.05","> = 0.02–0.05","NA","1","1.0900000000000001","ng/g","wet","no",NA,NA,NA
"1767",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","79.319999999999993","> = 0.02–0.05","NA","71.290000000000006","88.26","ng/g","wet","no",NA,NA,NA
"1768",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Methoxychlor","organochlorine insecticides","liver","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1769",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total DDTs","organochlorine insecticides","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","17349.5","> = 0.02–0.2","NA","15351.5","19607.599999999999","ng/g","wet","no",NA,NA,NA
"1770",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 28","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","0.99","> = 0.08–0.2","NA","0.92","1.07","ng/g","wet","no",NA,NA,NA
"1771",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 52","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","0.21","> = 0.08–0.2","NA","0.13","0.31","ng/g","wet","no",NA,NA,NA
"1772",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 101","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","6.6","> = 0.08–0.2","NA","1.58","27.48","ng/g","wet","no",NA,NA,NA
"1773",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 118","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","876.41","> = 0.08–0.2","NA","822.62","933.72","ng/g","wet","no",NA,NA,NA
"1774",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 138","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","53.26","> = 0.08–0.2","NA","52.15","54.41","ng/g","wet","no",NA,NA,NA
"1775",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 153","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","112.54","> = 0.08–0.2","NA","40.58","312.14","ng/g","wet","no",NA,NA,NA
"1776",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 180","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","145.16","> = 0.08–0.2","NA","128.26","164.3","ng/g","wet","no",NA,NA,NA
"1777",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total PCBs","PCBs","liver","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","1254.3699999999999","> = 0.08–0.2","NA","1072.3","1467.34","ng/g","wet","no",NA,NA,NA
"1778",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","a-HCH","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.25","> = 0.02–0.05","NA","ND","6.29","ng/g","wet","no",NA,NA,NA
"1779",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1780",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Lindane","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.38","> = 0.02–0.05","NA","ND","14.32","ng/g","wet","no",NA,NA,NA
"1781",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","d-HCH","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","7.0000000000000007E-2","> = 0.02–0.05","NA","ND","0.47","ng/g","wet","no",NA,NA,NA
"1782",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total HCHs","organochlorine insecticides","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","3.18","> = 0.02–0.05","NA","0.49","20.61","ng/g","wet","no",NA,NA,NA
"1783",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Heptachlor","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1784",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","0.34","> = 0.02–0.05","NA","7.0000000000000007E-2","1.73","ng/g","wet","no",NA,NA,NA
"1785",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Chlordane","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1786",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan I","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1787",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan II","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1788",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endosulfan sulfate","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.09","> = 0.02–0.05","NA","ND","0.16","ng/g","wet","no",NA,NA,NA
"1789",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Aldrin","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1790",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.03","> = 0.02–0.05","NA","ND","0.11","ng/g","wet","no",NA,NA,NA
"1791",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1792",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin aldehyde","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1793",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Endrin ketone","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1794",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","156.02000000000001","> = 0.02–0.05","NA","55.77","436.5","ng/g","wet","no",NA,NA,NA
"1795",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","0.39","> = 0.02–0.05","NA","0.04","3.77","ng/g","wet","no",NA,NA,NA
"1796",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.16","> = 0.02–0.05","NA","ND","2.52","ng/g","wet","no",NA,NA,NA
"1797",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Methoxychlor","organochlorine insecticides","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1798",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total DDTs","organochlorine insecticides","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","160.25","> = 0.02–0.2","NA","58.33","440.27","ng/g","wet","no",NA,NA,NA
"1799",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 28","PCBs","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1800",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 52","PCBs","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.34","> = 0.08–0.2","NA","ND","2.8","ng/g","wet","no",NA,NA,NA
"1801",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 101","PCBs","abdominal fat","NA",2,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1802",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 118","PCBs","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","56.59","> = 0.08–0.2","NA","26.68","120.04","ng/g","wet","no",NA,NA,NA
"1803",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 138","PCBs","abdominal fat","NA",2,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.25","> = 0.08–0.2","NA","ND","1.55","ng/g","wet","no",NA,NA,NA
"1804",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 153","PCBs","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","18.68","> = 0.08–0.2","NA","8.92","39.130000000000003","ng/g","wet","no",NA,NA,NA
"1805",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","PCB 180","PCBs","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","17.96","> = 0.08–0.2","NA","4.6900000000000004","68.739999999999995","ng/g","wet","no",NA,NA,NA
"1806",2006,"Hela et al. 2006",147,"2003","Greece","Peregrine Falcon","Falco peregrinus","wild","Total PCBs","PCBs","abdominal fat","NA",2,"2","NA","unknown/mixed","unknown/mixed","geometric mean","98.31","> = 0.08–0.2","NA","41.89","230.75","ng/g","wet","no",NA,NA,NA
"1807",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","a-HCH","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.45","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1808",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","b-HCH","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.1000000000000001","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1809",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Lindane","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.33","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1810",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","d-HCH","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.49","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1811",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Total HCHs","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","4.37","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1812",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Heptachlor","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","18.829999999999998","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1813",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Heptachlor epoxide","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.49","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1814",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Chlordane","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1815",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endosulfan I","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1816",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endosulfan II","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1817",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endosulfan sulfate","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1818",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Aldrin","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","5.18","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1819",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Dieldrin","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.51","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1820",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endrin","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1821",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endrin aldehyde","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1822",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endrin ketone","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1823",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","DDE","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","290.48","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1824",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","DDD","organochlorine insecticides","liver","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1825",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","DDT","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","4.16","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1826",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Methoxychlor","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","27.81","> = 0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1827",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Total DDTs","organochlorine insecticides","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","294.64","> = 0.02–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1828",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 28","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.22","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1829",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 52","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.13","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1830",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 101","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.34","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1831",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 118","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","50.66","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1832",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 138","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","1.24","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1833",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 153","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","26.67","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1834",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","PCB 180","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","19.41","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1835",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Total PCBs","PCBs","liver","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","98.67","> = 0.08–0.2","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1836",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","a-HCH","organochlorine insecticides","abdominal fat","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","0.85","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1837",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","b-HCH","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1838",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Lindane","organochlorine insecticides","abdominal fat","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","26.83","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1839",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","d-HCH","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1840",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Total HCHs","organochlorine insecticides","abdominal fat","NA",1,"1","NA","unknown/mixed","unknown/mixed","geometric mean","27.68","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1841",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Heptachlor","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1842",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Heptachlor epoxide","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1843",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Chlordane","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
"1844",2006,"Hela et al. 2006",147,"2003","Greece","Eleonora's Falcon","Falco eleonorae","wild","Endosulfan I","organochlorine insecticides","abdominal fat","NA",1,"0","NA","unknown/mixed","unknown/mixed","geometric mean","ND","> = 0.02–0.05","NA","NA","NA","ng/g","wet","no",NA,NA,NA
